index,day,topic
0,1,채용
1,2,"규칙, 법률"
2,3,일반사무 (1)
3,4,일반사무 (2)
4,5,일반사무 (3)
5,6,"여가, 공동체"
6,7,마케팅 (1)
7,8,마케팅 (2)
8,9,경제
9,10,쇼핑
10,11,제품개발
11,12,생산
12,13,고객서비스
13,14,"여행, 공항"
14,15,계약
15,16,상거래
16,17,"무역, 배송"
17,18,"숙박, 식당"
18,19,수익
19,20,회계
20,21,회사동향
21,22,미팅
22,23,사원 복지
23,24,인사이동
24,25,교통
25,26,은행
26,27,투자
27,28,"건물, 주택"
28,29,환경
29,30,건강
